distance,consume,speed,temp_inside,temp_outside,price_per_liter,AC,rain,sun,gas_type,amount_per_consumption,amount_per_km,temp_spread
16.1,4.5,33,21.5,6,1.46,0,0,0,1,6.57,0.40807453416149064,15.5
11.8,4.5,43,21.5,3,1.46,0,0,0,1,6.57,0.5567796610169491,18.5
4.2,6,26,21.5,5,1.46,0,0,0,1,8.76,2.0857142857142854,16.5
17.4,5.1,30,21.5,5,1.46,0,0,0,1,7.446,0.42793103448275865,16.5
23.5,6,25,21.5,5,1.46,0,1,0,1,8.76,0.3727659574468085,16.5
11.8,4.5,38,21.5,5,1.46,0,1,0,1,6.57,0.5567796610169491,16.5
12.3,6.1,61,21.5,10,1.46,0,1,0,1,8.905999999999999,0.7240650406504063,11.5
16.1,5.4,24,21.5,7,1.38,0,1,0,0,7.452,0.4628571428571428,14.5
11.8,4.3,40,21.5,10,1.38,0,1,0,0,5.933999999999999,0.5028813559322033,11.5
12.3,5.4,58,21.5,13,1.38,0,0,0,0,7.452,0.6058536585365853,8.5
12.4,4.3,49,21.5,17,1.38,0,0,0,0,5.933999999999999,0.4785483870967741,4.5
7,5.2,25,21.5,17,1.38,0,0,0,0,7.175999999999999,1.0251428571428571,4.5
11.8,4.1,37,21.5,10,1.38,0,0,0,0,5.6579999999999995,0.47949152542372875,11.5
20.1,4.4,41,21.5,18,1.38,0,0,0,0,6.072,0.30208955223880596,3.5
20.8,4.5,45,21.5,10,1.38,0,0,0,0,6.209999999999999,0.29855769230769225,11.5
1.7,10.8,14,21.5,10,1.38,0,1,0,0,14.904,8.767058823529412,11.5
35.9,4.7,45,21.5,12,1.38,0,0,0,0,6.486,0.18066852367688022,9.5
36.9,4.8,52,21.5,5,1.38,0,0,0,0,6.624,0.1795121951219512,16.5
16.8,4,46,21.5,8,1.38,0,0,0,0,5.52,0.3285714285714285,13.5
9.9,5,28,21.5,9,1.38,0,0,0,0,6.8999999999999995,0.6969696969696969,12.5
22.9,4.6,61,21.5,7,1.38,0,1,0,0,6.347999999999999,0.27720524017467246,14.5
17.3,5,61,21.5,6,1.38,1,1,0,0,6.8999999999999995,0.3988439306358381,15.5
11.8,4.3,37,21.5,7,1.38,0,0,0,0,5.933999999999999,0.5028813559322033,14.5
36.6,5.2,80,21.5,7,1.38,0,1,0,0,7.175999999999999,0.19606557377049177,14.5
44.9,4.7,62,21.5,8,1.38,0,0,0,0,6.486,0.1444543429844098,13.5
11.8,4.2,34,21.5,9,1.38,0,1,0,0,5.795999999999999,0.491186440677966,12.5
21.6,5.3,44,21.5,9,1.38,0,1,0,0,7.313999999999999,0.33861111111111103,12.5
39.4,5.3,60,21.5,9,1.38,0,1,0,0,7.313999999999999,0.18563451776649745,12.5
5.1,8.1,39,21.5,4,1.38,0,0,0,0,11.177999999999999,2.191764705882353,17.5
26.6,4.8,38,21.5,7,1.38,0,0,0,0,6.624,0.24902255639097742,14.5
53.2,5.1,71,21.5,2,1.38,0,0,0,0,7.037999999999999,0.13229323308270674,19.5
18.9,4.4,53,21.5,2,1.38,0,0,0,0,6.072,0.3212698412698413,19.5
43.5,5,80,21.5,3,1.38,0,0,0,0,6.8999999999999995,0.1586206896551724,18.5
6.1,6.3,26,21.5,5,1.38,0,0,0,0,8.693999999999999,1.4252459016393442,16.5
16.4,4.8,49,21.5,5,1.38,0,0,0,0,6.624,0.40390243902439027,16.5
